Rank;Country;Region;Documents;Citable documents;Citations;Self-citations;Citations per document;H index
224;Svalbard and Jan Mayen;Western Europe;67;62;1005;3;15.0;17
225;Tuvalu;Pacific Region;51;46;1270;9;24.9;16
226;Nauru;Pacific Region;44;37;626;11;14.23;12
227;Saint Martin (Dutch);Latin America;35;34;76;0;2.17;5
228;British Indian Ocean Territory;Africa;34;29;1200;0;35.29;14
229;Niue;Pacific Region;29;24;956;6;32.97;11
230;United States Minor Outlying Islands;Northern America;27;23;1051;0;38.93;12
231;Norfolk Island;Pacific Region;27;21;285;0;10.56;11
232;Wallis and Futuna;Pacific Region;26;22;186;5;7.15;8
233;South Georgia and the South Sandwich Islands;Latin America;23;19;125;0;5.43;7
234;Cocos (Keeling) Islands;Pacific Region;14;14;262;0;18.71;7
235;Tokelau;Pacific Region;13;12;822;1;63.23;5
236;Western Sahara;Africa;11;9;111;0;10.09;6
237;Saint Martin (French);Latin America;9;9;14;0;1.56;2
238;Bouvet Island;Western Europe;8;7;57;0;7.13;3
239;Christmas Island;Pacific Region;7;7;83;0;11.86;4
240;Saint Pierre and Miquelon;Northern America;7;6;239;0;34.14;3
241;French Southern Territories;Pacific Region;6;6;194;0;32.33;5
242;Pitcairn;Pacific Region;3;1;22;0;7.33;2
243;Heard Island and McDonald Islands;Pacific Region;2;2;16;0;8.0;2
